id,artist,title,date_added
719,"Cazzafura Feat. Senidah","Men Vse","2018-11-21 05:27:34.661838"
720,"Rod Stewart","Rhythm Of My Heart","2018-11-21 05:27:34.652906"
721,Pink,"What About Us","2018-11-21 03:26:38.290585"
722,"Shakespear's Sisters",Stay,"2018-11-21 03:22:57.221044"
723,"Rok'N'Band","Rad Jo Imam","2018-11-21 03:17:56.555333"
724,"Scissor Sisters","I Don't Feel Like Dancin'","2018-11-21 03:12:55.857413"
725,Siddharta,Medrevesa,"2018-11-21 03:08:55.342949"
726,"Glenn Medeiros","Nothings Gonna Change My Love","2018-11-21 03:05:24.906306"
727,"Jan Plestenjak","Smeh In Solze","2018-11-21 03:02:24.500695"
728,"Charlie Puth","How Long","2018-11-21 02:58:54.044529"
729,Bilbi,"Hvala Za Vijolice","2018-11-21 02:55:22.609600"
730,"Ed Sheeran",Photograph,"2018-11-21 02:53:52.096828"
731,Magnifico,Silvia,"2018-11-21 02:53:52.091436"
732,"Culture Beat","Mr. Vain","2018-11-21 00:51:18.194661"
733,"Big Foot Mama","Crn Tulipan","2018-11-21 00:48:47.868446"
734,"Spandau Ballet",Gold,"2018-11-21 00:44:47.369302"
735,"Gu Gu","Želim Si Na Jamajko","2018-11-21 00:41:16.930097"
736,"Vanessa Carlton","A Thousand Miles","2018-11-21 00:38:16.558946"
737,Tabu,Tabu,"2018-11-21 00:34:15.969422"
738,"Bryan Adams","Please Forgive Me","2018-11-21 00:30:44.985989"
739,"Jan Plestenjak Challe Salle","Velik Je Ta Svet","2018-11-21 00:26:44.425901"
740,Victory,"Zelena Dezela","2018-11-21 00:22:43.902468"
741,"Da Phenomena",Pejdap,"2018-11-21 00:19:13.436585"
742,Sasha,Vrtnar,"2018-11-21 00:15:42.595552"
743,"Maksine Vrecko","Nocem Besed","2018-11-21 00:12:42.205368"
744,Cuki,Sonce,"2018-11-21 00:08:41.636753"
745,"Drustvo Mrtvih Pesnikov","Cutim Te","2018-11-21 00:05:05.250143"
746,"Sweet Peak Ina Shai",Grafit,"2018-11-21 00:01:34.788954"
747,Mi2,"Samo Tebe Te Imam","2018-11-20 23:58:04.311819"
748,California,"Ledena Ptica","2018-11-20 23:53:03.678933"
749,"Martin Krpan","Še Je Cas","2018-11-20 23:50:03.287669"
750,Bql,"Heart Of Gold","2018-11-20 23:47:32.942383"
751,"Katarina Mala","Ciao Ciao","2018-11-20 23:44:02.461488"
752,"Omar Naber","Omar Ti Teslo","2018-11-20 23:40:01.956186"
753,"Nina Pušlar","To Mi Je Všec","2018-11-20 23:38:31.752451"
754,Faraoni,"Sem Takšen Ker Sem Živ","2018-11-20 23:38:31.751335"
755,Nino,"Moja Moja","2018-11-20 22:36:05.773364"
756,"Kylie Minogue","I Should Be So Lucky","2018-11-20 22:35:34.349036"
757,"Geri Halliwell","It's Raining Men","2018-11-20 22:28:06.037066"
758,"Phil Collins","Against All Odds","2018-11-20 22:25:05.592191"
759,"The Common Linnets","Calm After The Storm","2018-11-20 22:21:35.122256"
760,"Zoran Predin","Zadnja Vecerja","2018-11-20 22:17:34.373173"
761,"Dire Straits","Walk Of Life","2018-11-20 22:15:04.029573"
762,Nude,"Šiz The Best","2018-11-20 22:11:03.466438"
763,"Sophie Ellis Bextor","Murder On The Dance Floor","2018-11-20 22:07:32.965710"
764,Connells,"74 75","2018-11-20 22:05:02.606085"
765,"Vlado Kreslin","Tvoje Jutro","2018-11-20 22:01:02.055865"
766,"Harry Styles","Sign Of Times","2018-11-20 21:57:01.492979"
767,"Marvin Gaye","Sexual Healing","2018-11-20 21:54:01.075300"
768,Sokoli,"Greva Punca V Juzne Kraje","2018-11-20 21:50:30.621560"
769,"Shakira Carlos Santana",Illegal,"2018-11-20 21:47:00.159596"
770,"Paul Simon","You Can Call Me Al","2018-11-20 21:42:29.603722"
771,"Justin Timberlake Chris Stapleton","Say Something","2018-11-20 21:38:59.193100"
772,"Juice Newton","Queen Of Hearts","2018-11-20 21:36:27.770543"
773,"David Domjanic Alex Volasko Samo Kozar","Ta Obcutek","2018-11-20 21:33:27.424150"
774,"Soul Asylum","Runaway Train","2018-11-20 21:28:56.866071"
775,Roxette,"Spending My Time","2018-11-20 21:24:56.377334"
776,Queen,"Heaven For Everyone","2018-11-20 21:21:25.969760"
777,Aerosmith,"I Don't Want To Miss A Thing","2018-11-20 21:17:55.577059"
778,"Lene Marlin","Sitting Down Here","2018-11-20 21:14:55.227109"
779,"Mr Big","To Be With You","2018-11-20 21:10:54.779528"
780,"Curtis Stigers","I Wonder Why","2018-11-20 21:06:54.315351"
781,Cher,Believe,"2018-11-20 21:05:24.073956"
782,"Celine Dion","Because You Loved Me","2018-11-20 21:05:24.072933"
783,"Bijelo Dugme","Hajdemo U Planine","2018-11-20 20:52:57.349192"
784,"Bruce Springsteen","Streets Of Philadelphia","2018-11-20 20:48:56.165631"
785,Tabu,Angel,"2018-11-20 20:45:25.141148"
786,"Billy Ocean",Loverboy,"2018-11-20 20:43:24.554498"
787,"Lost Frequencies","Are You With Me","2018-11-20 20:39:53.557466"
788,"Eric Clapton","Wonderful Tonight","2018-11-20 20:36:22.944913"
